no predict real
0 1 1
1 1 1
2 1 1
3 1 1
4 1 1
5 1 1
6 1 1
7 1 1
8 1 1
9 1 1
10 1 1
11 1 1
12 1 1
13 1 1
14 1 1
15 1 1
16 0 1
17 1 1
18 1 1
19 1 1
20 1 1
21 1 1
22 1 1
23 1 1
24 1 1
25 1 1
26 1 1
27 1 1
28 0 1
29 1 1
30 1 1
31 1 1
32 1 1
33 1 1
34 1 1
35 1 1
36 1 1
37 1 1
38 1 1
39 1 1
40 1 1
41 1 1
42 1 1
43 1 1
44 1 1
45 2 2
46 2 2
47 2 2
48 2 2
49 2 2
50 2 2
51 1 2
52 2 2
53 1 2
54 2 2
55 2 2
56 2 2
57 2 2
58 2 2
59 2 2
60 2 2
61 2 2
62 2 2
63 1 2
64 2 2
65 2 2
66 2 2
67 2 2
68 2 2
69 2 2
70 2 2
71 2 2
72 2 2
73 2 2
74 2 2
75 2 2
76 2 2
77 2 2
78 2 2
79 2 2
80 2 2
81 2 2
82 2 2
83 2 2
84 2 2
85 2 2
86 2 2
87 2 2
88 2 2
89 2 2
90 2 2
91 2 2
92 2 2
93 2 2
94 2 2
95 2 2
96 0 0
97 0 0
98 0 0
99 0 0
100 2 0
101 0 0
102 0 0
103 0 0
104 1 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 2 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0 0
126 0 0
127 0 0
128 0 0
129 0 0
130 0 0
131 0 0
132 0 0
133 0 0
134 0 0
135 0 0
136 1 0
137 0 0
138 0 0
139 0 0
140 0 0
141 0 0
142 1 0
143 0 0
144 0 0
145 1 0
146 1 0
147 1 0
148 1 0
149 0 0
150 0 0
151 0 0
152 0 0
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0
159 0 0
